value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen
104.140.154.138:30188,ip,2025-09-14 08:43:17,2025-09-15 13:43:19,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.139:30176,ip,2025-09-14 08:43:17,2025-09-15 13:43:19,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.171:30239,ip,2025-09-14 08:43:18,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.186:30134,ip,2025-09-14 08:43:18,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.168:30102,ip,2025-09-14 08:43:18,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.165:30102,ip,2025-09-14 08:43:18,2025-09-15 13:43:20,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.168:30021,ip,2025-09-14 08:43:18,2025-09-15 13:43:20,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.16:30102,ip,2025-09-14 08:43:18,2025-09-15 13:43:20,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.160:30082,ip,2025-09-14 08:43:18,2025-09-15 13:43:20,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.216:30123,ip,2025-09-14 08:43:19,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.219:30139,ip,2025-09-14 08:43:19,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.213:30081,ip,2025-09-14 08:43:19,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.214:30188,ip,2025-09-14 08:43:19,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.20:30131,ip,2025-09-14 08:43:19,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.189:30035,ip,2025-09-14 08:43:19,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.195:30158,ip,2025-09-14 08:43:19,2025-09-15 13:43:21,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.233:30123,ip,2025-09-14 08:43:20,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.235:30239,ip,2025-09-14 08:43:20,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.231:30221,ip,2025-09-14 08:43:20,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.226:30082,ip,2025-09-14 08:43:20,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.230:30176,ip,2025-09-14 08:43:20,2025-09-15 13:43:22,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
104.140.154.26:30239,ip,2025-09-14 08:43:21,2025-09-15 13:43:23,win.deimos_c2,botnet_cc,abuse_ch,75,1,,,
