value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen,features.days_since_last_seen,features.seen_duration_days,domain_tld,domain_length,domain_digits,domain_hyphens,ip_octets,ip_port
45.192.200.151:7700,ip,2025-09-16 05:16:37,2025-09-16 05:17:51,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.138:7700,ip,2025-09-16 05:16:38,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.134:7700,ip,2025-09-16 05:16:38,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.150:7700,ip,2025-09-16 05:16:38,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.147:7700,ip,2025-09-16 05:16:39,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.148:7700,ip,2025-09-16 05:16:39,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.131:7700,ip,2025-09-16 05:16:39,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.153:7700,ip,2025-09-16 05:16:40,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.146:7700,ip,2025-09-16 05:16:40,2025-09-16 05:17:52,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.200.192.69:7700,ip,2025-09-16 05:16:40,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.141:7700,ip,2025-09-16 05:16:41,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.135:7700,ip,2025-09-16 05:16:42,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.130:7700,ip,2025-09-16 05:16:41,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
154.92.177.199:7700,ip,2025-09-16 05:16:42,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
154.92.177.221:7700,ip,2025-09-16 05:16:43,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.193.77:7700,ip,2025-09-16 05:16:43,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
38.14.16.153:7700,ip,2025-09-16 05:16:43,2025-09-16 05:17:53,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.143:7700,ip,2025-09-16 05:16:44,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.149:7700,ip,2025-09-16 05:16:45,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.129:7700,ip,2025-09-16 05:16:44,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.193.83:7700,ip,2025-09-16 05:16:45,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.136:7700,ip,2025-09-16 05:16:46,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
38.33.184.235:7700,ip,2025-09-16 05:16:46,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.155:7700,ip,2025-09-16 05:16:47,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.201.77:7700,ip,2025-09-16 05:16:47,2025-09-16 05:17:54,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.200.192.74:7700,ip,2025-09-16 05:16:48,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.156:7700,ip,2025-09-16 05:16:48,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.202.220:7700,ip,2025-09-16 05:16:48,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.202.215:7700,ip,2025-09-16 05:16:49,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.201.79:7700,ip,2025-09-16 05:16:49,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.202.209:7700,ip,2025-09-16 05:16:50,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.200.154:7700,ip,2025-09-16 05:16:50,2025-09-16 05:17:55,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.202.210:7700,ip,2025-09-16 05:16:51,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
38.33.184.240:7700,ip,2025-09-16 05:16:51,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
38.33.184.227:7700,ip,2025-09-16 05:16:51,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.201.81:7700,ip,2025-09-16 05:16:52,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.201.93:7700,ip,2025-09-16 05:16:53,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.201.68:7700,ip,2025-09-16 05:16:52,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
154.92.177.214:7700,ip,2025-09-16 05:16:53,2025-09-16 05:17:56,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.200.192.77:7700,ip,2025-09-16 05:16:54,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.193.72:7700,ip,2025-09-16 05:16:54,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.200.192.78:7700,ip,2025-09-16 05:16:54,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.202.204:7700,ip,2025-09-16 05:16:55,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.193.87:7700,ip,2025-09-16 05:16:55,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
38.14.16.157:7700,ip,2025-09-16 05:16:56,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
45.192.104.119:4433,ip,2025-09-16 05:16:59,2025-09-16 05:17:50,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,4433
45.192.193.79:7700,ip,2025-09-16 05:16:56,2025-09-16 05:17:57,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,7700
8.134.195.179:80,ip,2025-09-16 05:16:59,2025-09-16 05:17:49,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,80
43.242.32.131:80,ip,2025-09-16 05:16:59,2025-09-16 05:17:49,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,80
116.205.247.26:80,ip,2025-09-16 05:17:00,2025-09-16 05:17:50,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,80
135.181.80.176:2083,ip,2025-09-16 05:17:30,2025-09-16 05:17:49,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,2083
159.75.158.29:80,ip,2025-09-16 05:17:11,2025-09-16 05:17:50,win.cobalt_strike,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,0,,,,,4,80
37.106.35.173:9004,ip,2025-09-16 05:19:17,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9004
37.106.35.173:12378,ip,2025-09-16 05:19:17,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12378
37.106.35.173:9141,ip,2025-09-16 05:19:17,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9141
